430690,430691,821
430689,430690,118
430688,430689,274
430687,430688,41
430686,430687,805
430685,430686,1200
430684,430685,240
430683,430684,482
430682,430683,60
430681,430682,708
430680,430681,193
430679,430680,735
430678,430679,49
430677,430678,1078
430676,430677,216
430675,430676,163
430674,430675,263
430673,430674,2284
430672,430673,129
430671,430672,1516
430670,430671,1109
430669,430670,579
430668,430669,332
430667,430668,273
430666,430667,1305
430665,430666,467
430664,430665,1951
430663,430664,126
430662,430663,202
430661,430662,413
430660,430661,12
430659,430660,1346
430658,430659,281
430657,430658,520
430656,430657,89
430655,430656,156
430654,430655,602
430653,430654,45
430652,430653,453
430651,430652,288
430650,430651,511
430649,430650,1719
430648,430649,859
430647,430648,251
430646,430647,1748
430645,430646,24
430644,430645,1215
430643,430644,1267
430642,430643,105
430641,430642,854
430640,430641,15
430639,430640,739
430638,430639,511
430637,430638,864
430636,430637,84
430635,430636,386
430634,430635,755
430633,430634,817
430632,430633,689
430631,430632,363
430630,430631,1669
430629,430630,10
430628,430629,63
430627,430628,575
430626,430627,726
430625,430626,978
430624,430625,94
430623,430624,52
430622,430623,641
430621,430622,126
430620,430621,312
430619,430620,411
430618,430619,294
430617,430618,387
430616,430617,256
430615,430616,110
430614,430615,113
430613,430614,380
430612,430613,229
430611,430612,698
430610,430611,459
430609,430610,990
430608,430609,615
430607,430608,824
430606,430607,904
430605,430606,1163
430604,430605,965
430603,430604,395
430602,430603,1001
430601,430602,30
430600,430601,490
430599,430600,50
430598,430599,803
430597,430598,50
430596,430597,1420
430595,430596,459
430594,430595,1751
430593,430594,88
430592,430593,310
430591,430592,73
430590,430591,87
430589,430590,618
430588,430589,327
430587,430588,14
430586,430587,46
430585,430586,2684
430584,430585,689
430583,430584,657
430582,430583,13
430581,430582,45
430580,430581,1070
430579,430580,61
430578,430579,730
430577,430578,323
430576,430577,701
430575,430576,1258
430574,430575,550
430573,430574,558
430572,430573,3
430571,430572,884
430570,430571,589
430569,430570,1058
430568,430569,50
430567,430568,645
